english,spanish,trigger_phrase,subjunctive_verb,infinitive,indicative_form,note
I want you to succeed where so many of us have failed,Quiero que ustedes tengan éxito donde tantos de nosotros hemos fallado,quiero que,tengan,tener,tienen,
I want us to build a greater generation and a greater community than we've ever had,Quiero que construyamos una generación mejor y una comunidad mejor de las que jamás hemos tenido,quiero que,construyamos,construir,construimos,
You're hoping that there won't be drama at church,Están esperando que no haya drama en la iglesia,esperar que,haya,haber,hay,haya = subjunctive of hay
...to deal with it in a way that doesn't isolate you or others,...lidiar con él de una manera que no te aísle a ti ni a los demás,de una manera que (indefinite),aísle,aislar,aísla,the 'way' doesn't exist yet → subjunctive
...that doesn't cause division or disruption,...que no cause división ni disrupción,de una manera que (indefinite),cause,causar,causa,
...but that glorifies God in the middle of the drama,...sino que glorifique a Dios en medio del drama,de una manera que (indefinite),glorifique,glorificar,glorifica,c→qu
If I just ask you to repeat yourself,Si nomás te pido que repitas lo que dijiste,pedir que,repitas,repetir,repites,
Stop expecting everyone to 'just know',Deja de esperar que todos 'ya sepan',esperar que,sepan,saber,saben,"sep- stem, unpredictable"
Don't be shocked when no one hears you,No te sorprendas cuando nadie te oiga,cuando (future),oiga,oír,oye,cuando + future event → subjunctive
His love didn't wait for us to come to Him,Su amor no esperó a que nosotros viniéramos a Él,esperar a que (past),viniéramos,venir,venimos,imperfect subjunctive: main verb is past
What excuse do we have for letting petty conflicts divide us?,¿Qué excusa tenemos para permitir que conflictos mezquinos nos dividan?,permitir que,dividan,dividir,dividen,
You must be unwilling to allow church drama to supersede the value of the people,No debes permitir que el drama de la iglesia supere el valor de las personas,permitir que,supere,superar,supera,
If you want the chains of drama broken over you,Si quieres que las cadenas del drama se rompan sobre ti,querer que,se rompan,romperse,se rompen,
"I open my heart for You to heal, to reconcile, to restore","Abro mi corazón para que Tú sanes, reconcilies y restaures",para que,sanes,sanar,sanas,your diagnostic: 'sanas' was the reflex; para que flips it
...for You to reconcile,...para que reconcilies,para que,reconcilies,reconciliar,reconcilias,
...for You to restore,...para que restaures,para que,restaures,restaurar,restauras,
We need to stick around to make the new person feel welcome,Necesitamos quedarnos un ratito más para que la persona nueva se sienta bienvenida,para que,se sienta,sentirse,se siente,
We need to become uncomfortable to make others comfortable,Necesitamos incomodarnos para que otros estén cómodos,para que,estén,estar,están,
I'd like to call up our midweek group leaders,Me gustaría que pasaran al frente los líderes de los grupos de entre semana,me gustaría que,pasaran,pasar,pasan,gustaría (conditional) → imperfect subjunctive
There should be no room in your life for those who want to take advantage of you,No debe haber lugar en tu vida para quien quiera aprovecharse de ti,para quien (indefinite),quiera,querer,quiere,
...so far that nothing can touch you,...tan lejos que nada te pueda tocar,(so far) that... can,pueda,poder,puede,result not yet real → subjunctive
Whatever you bind on earth shall be bound in heaven (Mt 18:18),"Todo lo que aten en la tierra, será atado en el cielo",todo lo que (indefinite),aten,atar,atan,NBLA — verify
...whatever you loose on earth,"...y todo lo que desaten en la tierra, será desatado en el cielo",todo lo que (indefinite),desaten,desatar,desatan,
If two of you agree about anything they ask (Mt 18:19),Si dos de ustedes se ponen de acuerdo sobre cualquier cosa que pidan,cualquier cosa que,pidan,pedir,piden,'se ponen de acuerdo' stays indicative after si
...that every charge may be established by two or three witnesses (Mt 18:16),...para que toda palabra sea confirmada por boca de dos o tres testigos,para que,sea,ser,es,NBLA — verify
I don't think everyone I meet wants godly resolution,No creo que todos los que conozco quieran una resolución piadosa,no creo que,quieran,querer,quieren,you actually said 'I forget that not everyone WANTS' → that is indicative (olvidar que + fact)
I can trust God to preach a message that our church needs to hear,Puedo confiar en que Dios predique el mensaje que nuestra iglesia necesita oír,confiar en que,predique,predicar,predica,
...so that there should be no division in the body (1 Co 12:25),...a fin de que en el cuerpo no haya división,a fin de que,haya,haber,hay,NBLA — verify
...but that its parts should have equal concern for each other,...sino que los miembros tengan el mismo cuidado unos por otros,a fin de que,tengan,tener,tienen,
"If the foot should say, 'Because I am not a hand...' (1 Co 12:15)","Si el pie dijera: «Porque no soy mano, no soy del cuerpo»",si (hypothetical),dijera,decir,dice,imperfect subjunctive after hypothetical si
Satan himself wants the church divided and broken,Satanás mismo quiere que la iglesia esté dividida y quebrantada,querer que,esté,estar,está,your diagnostic: 'esta' — needs the accent AND the subjunctive
I want our nation to be united,Quiero que nuestra nación esté unida,querer que,esté,estar,está,
I'm not saying that politics aren't important,No estoy diciendo que la política no sea importante,no decir que,sea,ser,es,negated 'decir' → subjunctive
...to do everything we can to base that unity on Jesus alone,...hacer todo lo que podamos para basar esa unidad solo en Jesús,todo lo que (indefinite),podamos,poder,podemos,
What if God was doing this on purpose?,¿Y si Dios lo hiciera a propósito?,¿y si...? (hypothetical),hiciera,hacer,hace,imperfect subjunctive
What if God made it so we had to understand each other to understand Him better?,"¿Y si Dios lo dispuso así para que tuviéramos que entendernos, para entenderlo mejor a Él?",para que (past),tuviéramos,tener,tenemos,imperfect subjunctive
You can't understand them unless you communicate with them,No puedes entenderlos a menos que te comuniques con ellos,a menos que,te comuniques,comunicarse,te comunicas,a menos que ALWAYS takes subjunctive
When we find a difference in perspective or belief,Cuando encontremos una diferencia de perspectiva o de creencia,cuando (future),encontremos,encontrar,encontramos,
There should be a place where I understand your heart and you understand mine,Debe haber un lugar donde yo entienda tu corazón y tú entiendas el mío,un lugar donde (indefinite),entienda,entender,entiendo,
...and each of us leaves the conversation challenged to grow in Christ,...y que cada uno salga de la conversación desafiado a crecer en Cristo,(debe haber un lugar donde),salga,salir,sale,salg- stem
It takes a community willing to wait and see that value come to life,Requiere una comunidad dispuesta a esperar a que ese valor cobre vida,esperar a que,cobre,cobrar,cobra,
Unity requires me to empathize with you,La unidad requiere que yo tenga empatía contigo,requerir que,tenga,tener,tengo,
If I allow my views and biases to cause me to hate you,Si permito que mis opiniones y prejuicios me lleven a odiarte,permitir que,lleven,llevar,llevan,
The enemy wants you to hate your brothers and sisters in Christ,El enemigo quiere que odies a tus hermanos y hermanas en Cristo,querer que,odies,odiar,odias,
Our job is to find unity as we multiply,Nuestro trabajo es encontrar unidad a medida que nos multipliquemos,a medida que (future),nos multipliquemos,multiplicarse,nos multiplicamos,
"We must be a people who listen, who care, who enter into the struggles of others","Debemos ser un pueblo que escuche, que se interese, que entre en las luchas de los demás","un pueblo que (ideal, not yet real)",escuche,escuchar,escucha,describing what we SHOULD be → subjunctive
...who care,...que se interese,un pueblo que (ideal),se interese,interesarse,se interesa,
...who enter into the struggles of others,...que entre en las luchas de los demás,un pueblo que (ideal),entre,entrar,entra,
What if we chose reconciliation over retaliation?,¿Y si eligiéramos la reconciliación en lugar de la venganza?,¿y si...? (hypothetical),eligiéramos,elegir,elegimos,imperfect subjunctive
...save seats for people who voted different,...guardar lugares para gente que vote diferente,para gente que (indefinite),vote,votar,vota,
This should be the place where we bring our idols to smash them,Este debe ser el lugar donde traigamos nuestros ídolos para destruirlos,el lugar donde (ideal),traigamos,traer,traemos,traig- stem
The world tells us we don't need anyone else to thrive,El mundo nos dice que no necesitamos a nadie más para prosperar,decir que (information),—,necesitar,necesitamos,CONTRAST: decir que + fact = indicative. No subjunctive here
The doctors told me that I needed to avoid running,Los doctores me dijeron que evitara correr,"decir que (order, past)",evitara,evitar,evito,decir que + order = subjunctive; decir que + info = indicative
"We want to leave a mark, to be remembered, to leave a legacy","Queremos dejar huella, que nos recuerden, dejar un legado",querer que,recuerden,recordar,recuerdan,'to be remembered' = 'que nos recuerden' (no passive needed)
"Do whatever I want, whenever I want","Hacer lo que yo quiera, cuando yo quiera",lo que (indefinite),quiera,querer,quiero,
...and no one can tell me otherwise,...y que nadie me diga lo contrario,que nadie (wish),diga,decir,dice,
We want the heavens and the stars and everything in between to see us,Queremos que los cielos y las estrellas y todo lo que hay en medio nos vean,querer que,vean,ver,ven,
Let them have dominion over the fish of the sea (Gen 1:26),Y ejerza dominio sobre los peces del mar,que + wish (jussive),ejerza,ejercer,ejerce,NBLA — verify. c→z
...that we might be to the praise of His glory (Eph 1:12),...a fin de que nosotros seamos para alabanza de Su gloria,a fin de que,seamos,ser,somos,NBLA — verify
"Whether you eat or drink, or whatever you do, do all to the glory of God (1 Co 10:31)","Ya sea que coman, que beban, o que hagan cualquier otra cosa, háganlo todo para la gloria de Dios",ya sea que,coman,comer,comen,NBLA — verify
...or drink,...que beban,ya sea que,beban,beber,beben,
...or whatever you do,...o que hagan cualquier otra cosa,ya sea que,hagan,hacer,hacen,
"I came that they may have life, and have it abundantly (Jn 10:10)","Yo he venido para que tengan vida, y para que la tengan en abundancia",para que,tengan,tener,tienen,NBLA — verify
His intention for us is to enjoy the life He's given us,Su intención es que disfrutemos la vida que nos ha dado,su intención es que,disfrutemos,disfrutar,disfrutamos,
I want our church to fulfill every purpose given to us by God,Quiero que nuestra iglesia cumpla cada propósito que Dios nos ha dado,querer que,cumpla,cumplir,cumple,
She'll tell you I should find another purpose,Ella les diría que busque otro propósito,decir que (advice),busque,buscar,busco,c→qu
Even when the honeymoon is over,Aun cuando la luna de miel se haya acabado,aun cuando (future),se haya acabado,acabarse,se ha acabado,present perfect subjunctive
When looking for the right person to marry,Cuando busques a la persona correcta para casarte,cuando (future),busques,buscar,buscas,
We seek careers to give us value,Buscamos carreras que nos den valor,buscar algo que (indefinite),den,dar,dan,buscar + que → subjunctive when the thing isn't identified yet
Each of us wants to know our purpose,Cada uno de nosotros quiere conocer su propósito,querer + infinitive (same subject),—,conocer,quiere,"CONTRAST: same subject → infinitive, no que, no subjunctive"
I don't see it going anywhere anytime soon,No veo que vaya a desaparecer pronto,no ver que,vaya,ir,va,
I don't think the government is run by reptile people,No creo que el gobierno esté dirigido por reptilianos,no creo que,esté,estar,está,
...and I don't think Joe Biden is an alien,...y no creo que Joe Biden sea un extraterrestre,no creo que,sea,ser,es,
They have to do it in a way that isn't obvious,Tienen que hacerlo de una manera que no sea obvia,de una manera que (indefinite),sea,ser,es,
A safe spot where you won't be scared or intimidated or challenged,"Un lugar seguro donde no te asustes, ni te intimides, ni te desafíen",donde (indefinite),te asustes,asustarse,te asustas,
...or challenged,...ni te desafíen,donde (indefinite),desafíen,desafiar,desafían,
The agenda of the algorithm may not align with God's agenda,Puede que la agenda del algoritmo no se alinee con la agenda de Dios,puede que,se alinee,alinearse,se alinea,'puede que' ALWAYS takes subjunctive
...lest you die (Gen 3:3),...para que no mueran,para que,mueran,morir,mueren,NBLA — verify
When you eat of it your eyes will be opened (Gen 3:5),"El día que de él coman, se les abrirán los ojos",el día que (future),coman,comer,comen,NBLA — verify
I'm not saying the algorithm is this great demonic plot,No estoy diciendo que el algoritmo sea un gran complot demoníaco,no decir que,sea,ser,es,
"Sin wants you to hate God, and to be hated by God",El pecado quiere que odies a Dios y que Dios te odie,querer que,odies,odiar,odias,
...and to be hated by God,...y que Dios te odie,querer que,odie,odiar,odia,
I'm not telling you you need to delete your Facebook,No les estoy diciendo que borren su Facebook,decir que (order),borren,borrar,borran,
I'm asking you to be aware of the influences fighting for your attention,Les estoy pidiendo que estén conscientes de las influencias que pelean por su atención,pedir que,estén,estar,están,
I could care less what the algorithm has to say on the matter,No me importa lo que el algoritmo diga al respecto,lo que (whatever),diga,decir,dice,FLAG: 'could care less' → 'no me importa' / 'me vale' (informal)
We have to be careful relying on the algorithm to feed us Christian content,Hay que tener cuidado de confiar en que el algoritmo nos alimente con contenido cristiano,confiar en que,alimente,alimentar,alimenta,
"...rely on God to inform us spiritually, to influence us, to renew us daily","...depender de que Dios nos informe espiritualmente, nos influya, nos renueve cada día",depender de que,informe,informar,informa,
...to influence us constantly,...nos influya constantemente,depender de que,influya,influir,influye,-uir verbs add y
...to renew us daily,...nos renueve cada día,depender de que,renueve,renovar,renueva,
...so that you may verify what the will of God is (Rom 12:2),...para que verifiquen cuál es la voluntad de Dios,para que,verifiquen,verificar,verifican,NBLA — verify
Let God transform you into a new person (Rom 12:2 NLT),Dejen que Dios los transforme en una persona nueva,dejar que,transforme,transformar,transforma,
I urge you to offer your bodies as a living sacrifice (Rom 12:1),Les ruego que presenten sus cuerpos como sacrificio vivo,rogar que,presenten,presentar,presentan,NBLA — verify
Do not think of yourself more highly than you ought (Rom 12:3),Que nadie tenga más alto concepto de sí que el que debe tener,que nadie (jussive),tenga,tener,tiene,NBLA — verify
It's only rumors until you read it for yourself,No son más que rumores hasta que lo leas tú mismo,hasta que (future),leas,leer,lees,
What do I expect our church to do with this message?,¿Qué espero que nuestra iglesia haga con este mensaje?,esperar que,haga,hacer,hace,
How often do we allow THIS to have greater influence over us than THIS?,¿Con qué frecuencia permitimos que ESTO tenga mayor influencia sobre nosotros que ESTO?,permitir que,tenga,tener,tiene,
I want us to submit this to the Lord,Quiero que sometamos esto al Señor,querer que,sometamos,someter,sometemos,
I want us to hold this up high,Quiero que lo levantemos en alto,querer que,levantemos,levantar,levantamos,
...and I want us to confess and declare,...y quiero que confesemos y declaremos,querer que,confesemos,confesar,confesamos,no stem change in nosotros
We pray that our interactions with our phones be guided by Your wisdom,Oramos que nuestra interacción con el teléfono sea guiada por Tu sabiduría,orar que,sea,ser,es,
May the content we encounter be filtered through Your love and truth,Que el contenido que veamos sea filtrado por Tu amor y Tu verdad,que + wish (may...),sea,ser,es,English 'may' = bare 'que' + subjunctive
...the content we encounter (whatever it is),...el contenido que veamos,el que (indefinite),veamos,ver,vemos,
Protect our hearts from any sinful influence these technologies may have,Protege nuestros corazones de cualquier influencia pecaminosa que estas tecnologías puedan tener,cualquier... que,puedan,poder,pueden,
"I want our youth group, our church, to be defined by the fact that people matter more to us","Quiero que nuestro grupo de jóvenes, nuestra iglesia, se defina por el hecho de que las personas nos importan más",querer que,se defina,definirse,se define,'nos importan' stays indicative (it's the fact)
Love must be without hypocrisy (Rom 12:9),El amor sea sin hipocresía,(jussive),sea,ser,es,NBLA — verify
If you want to make sure of keeping it intact (C.S. Lewis),Si quieres asegurarte de que se mantenga intacto,asegurarse de que,se mantenga,mantenerse,se mantiene,
Reach out to someone that matters to you,Acércate a alguien que te importe,alguien que (unspecified),importe,importar,importa,if you mean a specific person → 'que te importa'
The teachers would ask us to make this box,Las maestras nos pedían que hiciéramos una caja,pedir que (past),hiciéramos,hacer,hacemos,imperfect subjunctive
Let us consider how to stir up one another (Heb 10:24),Consideremos cómo estimularnos unos a otros al amor y a las buenas obras,(nosotros command),consideremos,considerar,consideramos,NBLA — verify. nosotros command IS the subjunctive form
Let us hold fast the confession of our hope (Heb 10:23),Mantengamos firme la profesión de nuestra esperanza,(nosotros command),mantengamos,mantener,mantenemos,
Let us draw near with a sincere heart (Heb 10:22),Acerquémonos con corazón sincero,(nosotros command),acerquémonos,acercarse,nos acercamos,final -s drops before -nos
My heart for this message is that you wouldn't just know OF God,Mi anhelo con este mensaje es que no solo sepan DE Dios,mi anhelo es que,sepan,saber,saben,FLAG: 'my heart for' → 'mi anhelo' / 'mi deseo'; 'mi corazón para' is a calque
...but that you would KNOW God,...sino que conozcan a Dios,mi anhelo es que,conozcan,conocer,conocen,saber DE vs conocer A — the same split as your two irregular yo-forms
My heart for us today is that we could tear down the walls keeping us from knowing God,Mi anhelo hoy es que derribemos las paredes que nos impiden conocer a Dios,mi anhelo es que,derribemos,derribar,derribamos,
We cannot know God unless we give Him our attention,No podemos conocer a Dios a menos que le demos nuestra atención,a menos que,demos,dar,damos,
You can't ask someone to rewind the Spirit,No puedes pedirle a alguien que le regrese al Espíritu,pedir que,regrese,regresar,regresa,'regresarle' (Mex) = rewind; 'rebobinar' is the dictionary word
...that they should inhabit the whole earth (Acts 17:26),...para que habitaran sobre toda la faz de la tierra,para que (past),habitaran,habitar,habitan,NBLA — verify
...so that they would seek God (Acts 17:27),...para que buscaran a Dios,para que (past),buscaran,buscar,buscan,
It is Jesus's desire that we know Him personally,Es el deseo de Jesús que lo conozcamos personalmente,es el deseo de X que,conozcamos,conocer,conocemos,
Jesus wants us to know Him,Jesús quiere que lo conozcamos,querer que,conozcamos,conocer,conocemos,
I had always wanted someone to lay hands and prophesy over me,Siempre había querido que alguien me impusiera las manos y profetizara sobre mí,querer que (past),impusiera,imponer,impone,imperfect subjunctive; 'imponer manos' is the church verb
...and prophesy over me,...y profetizara sobre mí,querer que (past),profetizara,profetizar,profetiza,
Maybe God was telling me to buy cryptocurrency,Tal vez Dios me estaba diciendo que comprara criptomonedas,"decir que (order, past)",comprara,comprar,compro,imperfect subjunctive
...so that in everything He might have the supremacy (Col 1:18),...a fin de que Él tenga en todo la primacía,a fin de que,tenga,tener,tiene,NBLA — verify
God was pleased to have all His fullness dwell in Him (Col 1:19),Agradó al Padre que en Él habitara toda la plenitud,agradar que (past),habitara,habitar,habita,NBLA — verify
"No matter the wall, no matter the obstacle","Sea cual sea la pared, sea cual sea el obstáculo",sea cual sea (fixed),sea,ser,es,fixed formula = 'no matter which'
"I ask that You would be enough for me, Jesus","Te pido que Tú seas suficiente para mí, Jesús",pedir que,seas,ser,eres,
Now I ask to know You more,Ahora te pido que me permitas conocerte más,pedir que,permitas,permitir,permites,
"When Christ, who is our life, is revealed (Col 3:4)","Cuando Cristo, nuestra vida, sea manifestado",cuando (future),sea,ser,es,NBLA — verify
It's one thing if Jesus had stayed in the tomb,Una cosa sería si Jesús se hubiera quedado en la tumba,si (contrary to fact),se hubiera quedado,quedarse,se quedó,pluperfect subjunctive
"You may have made the choice to believe, but He made the choice to save","Puede que tú hayas tomado la decisión de creer, pero Él tomó la decisión de salvar",puede que,hayas tomado,tomar,has tomado,present perfect subjunctive
Sometimes we want to be distracted so we don't have to deal with life,A veces queremos distraernos para no tener que lidiar con la vida,para + infinitive (same subject),—,tener,tenemos,"CONTRAST: same subject → para + infinitive, no que"
"God, just let me punch him, please","Dios, nomás deja que le pegue, por favor",dejar que,pegue,pegar,pego,g→gu; 'nomás' is your Texas-Mexican 'just'
Every verse about revenge tells us to leave it to God,Cada versículo sobre la venganza nos dice que se lo dejemos a Dios,decir que (order),dejemos,dejar,dejamos,
...to trust God with justice,...que le confiemos la justicia a Dios,decir que (order),confiemos,confiar,confiamos,
I cannot find a single verse in the entire Bible that calls us to vengeance,No encuentro un solo versículo en toda la Biblia que nos llame a la venganza,no hay/encuentro... que (negated antecedent),llame,llamar,llama,the thing doesn't exist → subjunctive
"If it wasn't for the constant teaching of the Word, I would have punched my friend","Si no fuera por la enseñanza constante de la Palabra, le habría pegado a mi amigo",si (contrary to fact),fuera,ser,es,imperfect subjunctive
There was little we could do,Había poco que pudiéramos hacer,"poco que (indefinite, past)",pudiéramos,poder,podemos,imperfect subjunctive
