noun,gender,article_singular,article_plural,example_phrase_from_my_sermons,exception_class,note
problema,m,el problema,los problemas,"El problema es que, a esa distancia, también estás evitando a Dios.",-ma masculine,your diagnostic: 'la problema' ✗
tema,m,el tema,los temas,Estoy muy familiarizado con el tema del drama en la iglesia. / El libro de Filemón enfrenta el tema del perdón. (your own line),-ma masculine,
sistema,m,el sistema,los sistemas,"Un algoritmo es un sistema de reglas para resolver problemas, nuestros problemas.",-ma masculine,your diagnostic: 'la sistema' ✗ (adapted from your algorithm definition)
programa,m,el programa,los programas,"Lo que ves en la tele cada día, los programas, tus resultados de búsqueda, tus redes sociales.",-ma masculine,adapted from 'what you watch on TV every day'
drama,m,el drama,los dramas,El drama es una parte natural de la vida. / La cura para el drama de la iglesia eres TÚ.,-ma masculine,the word you preach most; it is masculine
dilema,m,el dilema,los dilemas,Nos queda un dilema: ser conformados o ser transformados.,-ma masculine,adapted from 'we are left with a choice'
clima,m,el clima,los climas,El clima político después de una de las elecciones más controversiales de los últimos veinte años.,-ma masculine,adapted (Indivisible)
idioma,m,el idioma,los idiomas,"Somos un cuerpo de creyentes multicultural, multigeneracional, de muchos idiomas y muchas naciones.",-ma masculine,'multilingual' → 'de muchos idiomas'
emblema,m,el emblema,los emblemas,"Con estos emblemas de pureza y devoción sin fin, cada uno desposa al otro.",-ma masculine,wedding ring blessing
lema,m,el lema,los lemas,"Más que un lema, es algo con lo que nos identificamos como iglesia.",-ma masculine,'catchphrase' → 'lema'
esquema,m,el esquema,los esquemas,"Aquí está el esquema del sermón, sin sorpresas.",-ma masculine,'bosquejo' is the more common church word for outline
síntoma,m,el síntoma,los síntomas,Los dolores de crecimiento son síntomas de una iglesia que está creciendo.,-ma masculine,adapted from 'growing pains'
trauma,m,el trauma,los traumas,"Cuando venimos a Cristo, venimos con equipaje, con traumas, con formas viejas de pensar.",-ma masculine,adapted from 'we come with baggage'
cisma,m,el cisma,los cismas,Déjenme aclarar: el drama no siempre causa cismas en la iglesia.,-ma masculine,"'church splits' → formal 'cismas', everyday 'divisiones'"
carisma,m,el carisma,los carismas,Somos una iglesia carismática; los carismas son los dones del Espíritu.,-ma masculine,adjective 'carismática' agrees normally
fantasma,m,el fantasma,los fantasmas,No creo que el gobierno esté dirigido por reptilianos ni por fantasmas.,-ma masculine,adapted; included because it is the classic -ma trap
panorama,m,el panorama,los panoramas,"El panorama completo de lo que Jesús hizo, desde el Domingo de Ramos hasta la resurrección.",-ma masculine,adapted (To Know God)
diagrama,m,el diagrama,los diagramas,Si trato de poner los cien versículos sobre la paz en un solo diagrama...,-ma masculine,adapted from 'on one slide'
día,m,el día,los días,"Todos los días de mi vida, amén. / Cuanto más ven que el Día se acerca (Heb 10:25 — verify NBLA).",masculine -a (non -ma),hiatus accent: dí-a
mapa,m,el mapa,los mapas,"Soy un nerd de la Biblia: me encantan los mapas, me encanta la piel, me encantan las letras doradas.",masculine -a (non -ma),
profeta,m,el profeta,los profetas,"El profeta Isaías dice: «No temas, porque Yo estoy contigo».",masculine -a (non -ma),feminine: la profetisa
planeta,m,el planeta,los planetas,"Un esfuerzo global, en todo el planeta, por capturar nuestra atención, nuestros votos y nuestras carteras.",masculine -a (non -ma),adapted from 'worldwide global effort'
cura,m/f,la cura (cure) / el cura (priest),las curas / los curas,La cura para el drama de la iglesia. / El orgullo es algo que solo Dios puede curar.,gender changes meaning,NEVER use 'el cura' (Catholic priest). Your sermon title is 'La cura'
papa,m/f,la papa (potato) / el Papa (pope),las papas / los Papas,—,gender changes meaning,not in corpus; listed so you never say 'el papa' for potato
orden,m/f,el orden (order/sequence) / la orden (command),los órdenes / las órdenes,Aquí están sus órdenes para esta semana. / Dios puso el cuerpo en orden.,gender changes meaning,'marching orders' → las órdenes (f)
mano,f,la mano,las manos,Algunos de ustedes son manos y pies que pueden mover montañas. / Levanten la mano. / Imponer las manos.,feminine -o,"your diagnostic: 'el mano' ✗. Adjectives agree feminine: la mano derecha, las manos limpias"
foto,f,la foto,las fotos,"Veo todo tipo de fotos alentadoras y contenido compartido, pero debería verlo más en persona que en sus historias.",feminine -o,your diagnostic: 'el foto' ✗ (short for la fotografía)
moto,f,la moto,las motos,—,feminine -o,short for la motocicleta; not in corpus
radio,f,la radio,las radios,—,feminine -o,la radio = the medium; in Mexico 'el radio' = the device
agua,f,el agua,las aguas,Nuestros cuerpos lavados con agua pura (Heb 10:22). / Él hizo las montañas y las aguas y los cielos.,stressed a- feminine,"your diagnostic: 'la agua' ✗. It is EL agua but 'el agua fría', 'las aguas'"
alma,f,el alma,las almas,Dos almas individuales que se vuelven una. / La condenación de nuestras almas.,stressed a- feminine,"'el alma perdida', 'las almas'"
área,f,el área,las áreas,Poco a poco esa inseguridad se metió en cada área de mi vida.,stressed a- feminine,'cada área' (cada is invariable); 'el área completa'
hambre,f,el hambre,las hambres,"Dame hambre, dame sed; te pido que Tú seas suficiente para mí.",stressed a- feminine,"'mucha hambre' (f), never 'mucho hambre'"
arma,f,el arma,las armas,He cargado la amargura como un arma. / Ningún arma forjada contra ti prosperará (Isa 54:17 — verify NBLA).,stressed a- feminine,'ningún arma' uses the masculine-looking form because arma is right after; 'las armas'
altar,m,el altar,los altares,Yo no traía todo mi ser al altar. / Vengan al altar.,(regular masculine — listed for contrast),"not an exception: ends in consonant, masculine"
águila,f,el águila,las águilas,—,stressed a- feminine,not in corpus; classic example
aula,f,el aula,las aulas,"Me acuerdo de la primaria, en el aula, cuando llegaba el Día de San Valentín.",stressed a- feminine,adapted from 'elementary school'
ancla,f,el ancla,las anclas,—,stressed a- feminine,Heb 6:19 'ancla del alma'; not in your corpus
ala,f,el ala,las alas,—,stressed a- feminine,not in corpus
habla,f,el habla,las hablas,El habla informal del sur de Texas.,stressed a- feminine,your own Spanish variety
